,relateid,actual,predicted,age_confidence,type_confidence,desc,atlas_estimate,color
6906,206439,OPDC,CJDN,0.7530187918972766,0.9993136721009496,SANDROCK,CJDN,UNKNOWN
6907,206439,OSTP,OGWD,0.9508230406501258,0.5002612722218022,SANDROCK,OSTP,UNKNOWN
6908,206439,OGWD,OSTP,0.8520634120853472,0.7443287365881484,SANDROCK,OSTP,UNKNOWN
6909,206439,OPVL,OGWD,0.9927925245586307,0.6233004280331703,LIMEROCK,OPGW,UNKNOWN
6910,206440,OSTP,CJDN,0.9840210759803629,0.9991765717794765,SHALE,OSTP,UNKNOWN
6911,206440,OSTP,OGWD,0.9337201303503185,0.6834226064826042,SANDROCK,OSTP,UNKNOWN
6912,206440,OPGW,OSTP,0.7624368042972569,0.7097959862505651,SANDROCK,OPGW,UNKNOWN
6913,206440,OPGW,OPVL,0.9927985648495401,0.5594854157090238,LIMEROCK,OPGW,UNKNOWN
6914,206440,QUUU,OPVL,0.9874932597118646,0.9147879697488933,LIMEROCK,OPGW,UNKNOWN
6915,206441,OSTP,CJDN,0.977058768749043,0.9998226391550129,SHALE & SANDROCK,OSTP,UNKNOWN
6916,206441,OSTP,OGWD,0.9843415870354091,0.7930443060932049,SANDSTONE,OSTP,UNKNOWN
6917,206441,OPGW,OGWD,0.9865256896134814,0.9959257229965038,LIMESTONE,OPGW,UNKNOWN
6918,206442,OPDC,CJDN,0.3816469404978625,0.9911295698030236,SHAKOPEE,OPOD,UNKNOWN
6919,206442,OSTP,OGWD,0.9731120632811919,0.5971824675271885,ST. PETER SANDROCK,OSTP,UNKNOWN
6920,206442,OPGW,OPVL,0.9927814103992293,0.7446630605730784,LIMEROCK,OPGW,UNKNOWN
6921,206443,OPDC,CJDN,0.9420701500694653,0.9960709003299258,LIMESTONE,OPOD,UNKNOWN
6922,206443,OSTP,OGWD,0.9841707316620619,0.8627272887166664,SANDSTONE,OSTP,UNKNOWN
6923,206444,OPDC,CJDN,0.39511285535165974,0.9956589818125594,DOLOMITE,OPOD,UNKNOWN
6924,206444,OSTP,OGWD,0.9842379991636071,0.7630294841210176,SANDSTONE,OSTP,UNKNOWN
6925,206444,QGUU,OPVL,0.6477081236456204,0.7104635206415701,GRAVEL,QS2,UNKNOWN
6926,206445,OPDC,CJDN,0.9776201877131471,0.9998310437433001,LIMEROCK,OPSH,UNKNOWN
6927,206445,OSTP,OGWD,0.9818750905989012,0.6765257870122153,SANDSTONE,OSTP,UNKNOWN
6928,206445,OPGW,OGWD,0.9653777090812365,0.9951905691194619,SHALE,OSTP,UNKNOWN
6929,206445,OPVL,QBUU,0.949734570685592,0.9992808759101174,LIMESTONE,QCS,UNKNOWN
6930,206448,OPVL,OGWD,0.9841003339348776,0.7444369294765071,LIMESTONE,OPGW,BLUE    
6931,206449,OSTP,CJDN,0.9549430517306577,0.8935744669446065,ST. PETER,OSTP,UNKNOWN
6932,206449,OPVL,OGWD,0.9854749936128424,0.9338360466767759,PLATTEVILLE,OPGW,UNKNOWN
6933,206449,QBUU,RMMF,0.6013076448450424,0.0,BOULDERS,QAFHL,UNKNOWN
6934,206450,OPDC,CJDN,0.8234994401654261,0.9993681870048451,SHALE,OPOD,WHITE   
6935,206450,OSTP,OGWD,0.9301575364372077,0.9661801284921792,SANDROCK,OSTP,WHITE   
6936,206450,QGUB,OPVL,0.5405823466711912,0.9564389389984972,GRAVEL,QTS,BROWN   
6937,206451,OSTP,CJDN,0.7953010337463654,0.9224781105835075,SANDSTONE,OSTP,WHITE   
6938,206452,OPVL,QBUK,0.9713902202396073,0.9984668038831066,LIMESTONE,UNKNOWN,BLACK   
6939,206452,QCUG,OPVL,0.8094092961861711,0.9609284621201056,SHALE,QCS,BLUE    
6940,206452,QGUU,OPVL,0.5067033017175347,0.9701704955566078,GRAVEL,QS2,LIGHT   
6941,206454,OPDC,QBUU,0.7043538915010579,0.9996631138995926,DOLOMITE,OPOD,PINK    
6942,206454,OSTP,OGWD,0.9846400114895919,0.8387801567580581,SANDSTONE,OSTP,WHITE   
6943,206454,QFUG,QNUG,0.9979999915699937,0.9999860695226516,SILT & SAND,QS2,GRAY    
6944,206455,OPVL,QBUG,0.8571332169842862,0.9988702910837344,BROKEN LIMESTONE,QS2,GRAY    
6945,206456,CTCG,CWOC,0.9765307549726798,0.5254729702419366,FRANCONIA,CTLR,UNKNOWN
6946,206456,OPDC,QBUU,0.35961154022419894,0.9984905706774263,SHAKOPEE,OPOD,UNKNOWN
6947,206456,OPVL,OGWD,0.9868565205412275,0.9927027202240095,PLATTEVILLE,OPGW,UNKNOWN
6948,206457,CSTL,CJDN,0.9940239225605232,0.8041219310106837,ST. LAWRENCE,CJDN,UNKNOWN
6949,206457,OPDC,CJDN,0.38889066939109135,0.9994948239010971,SHAKOPEE LIME,OPOD,UNKNOWN
6950,206457,OSTP,OGWD,0.8647543209605845,0.6711441466453083,ST. PETER SAND,OSTP,UNKNOWN
6951,206457,QHUB,QHUU,0.9695761572331887,0.9977305480613733,SAND & GRAVEL,QS2,UNKNOWN
6952,206458,OPVL,OGWD,0.8662532917427176,0.34029654044027835,LIMEROCK,OPGW,UNKNOWN
6953,206458,QCUU,OGWD,0.7082356205226686,0.7699261017713209,CLAY,OPGW,UNKNOWN
6954,206458,QGUU,OPVL,0.6001956483281465,0.9306122005348954,GRAVEL,QTT,UNKNOWN
6955,206459,OSTP,CJDN,0.9302030281581384,0.9995034160416275,ST. PETER,OSTP,WHITE   
6956,206459,QBUG,OPVL,0.9808104696362068,0.6216859322221191,LIMEROCK & STONES,OPGW,GRAY    
6957,206459,QFUU,OGWD,0.6742153589395231,0.888793531781948,FINE SAND,OPGW,LIGHT   
6958,206459,QUUU,RMMF,0.5704906820476019,0.0,HEAVY STONES,UNKNOWN,UNKNOWN
6959,206460,OSTP,CJDN,0.858625419050793,0.9264537356693019,ST. PETER SANDSTONE,OSTP,WHITE   
6960,206460,OPVL,OGWD,0.9894988089374147,0.896458555769325,LIMESTONE,OPGW,UNKNOWN
6961,206460,QGUU,OPVL,0.9928504189208514,0.9874125924895175,GRAVEL,OPGW,DARK    
6962,206462,OPVL,OGWD,0.9858464131359813,0.9708485186827905,LIMESTONE,OPGW,GRAY    
6963,206463,OPVL,OGWD,0.9858753110112315,0.7636301378187775,LIMESTONE,OPGW,UNKNOWN
6964,206464,OSTP,CJDN,0.7470478414347925,0.9775160549826143,SANDSTONE,OSTP,UNKNOWN
6965,206464,OPVL,OGWD,0.9893705608883296,0.9633841860353771,LIMESTONE,OPGW,UNKNOWN
6966,206466,OSTP,CJDN,0.9302449330557547,0.9996051659438415,ST. PETER,OSTP,WHITE   
6967,206467,QGUU,OPVL,0.993475704392858,0.9845319213333986,GRAVEL,OPGW,UNKNOWN
6968,206467,QGUU,OPVL,0.5565185580868192,0.9708644024979493,GRAVEL,QML,UNKNOWN
6969,206468,OPVL,OGWD,0.9694653009555468,0.48311500207440927,LIMEROCK,OPGW,UNKNOWN
6970,206468,QPUU,OPVL,0.9925103101652949,0.5715023606147073,GRAVEL & CLAY,OPGW,UNKNOWN
6971,206469,OPVL,OGWD,0.9756299707254069,0.6631761497249007,LIMEROCK,OPGW,UNKNOWN
6972,206470,OPVL,CJDN,0.9750815431474036,0.4570730404337526,LIMEROCK,OPGW,UNKNOWN
6973,206471,OPVL,OGWD,0.9756317047126136,0.5468125258788634,LIMEROCK,OPGW,UNKNOWN
